BOLIVIA,CHUQUISACA,Oropeza,BOL.1.7_1,324440
BOLIVIA,CHUQUISACA,Azurduy,,25636
BOLIVIA,CHUQUISACA,Zudañez,,42753
BOLIVIA,CHUQUISACA,Tomina,,37504
BOLIVIA,CHUQUISACA,Hernando Siles,BOL.1.2_1,35470
BOLIVIA,CHUQUISACA,Yamparaez,,27956
BOLIVIA,CHUQUISACA,Nor Cinti,BOL.1.6_1,83466
BOLIVIA,CHUQUISACA,Belisario Boeto,,11711
BOLIVIA,CHUQUISACA,Sud Cinti,,27235
BOLIVIA,CHUQUISACA,Luis Calvo,BOL.1.5_1,20842
BOLIVIA,LA PAZ,Murillo,BOL.4.17_1,1819206
BOLIVIA,LA PAZ,Omasuyos,BOL.4.15_1,86409
BOLIVIA,LA PAZ,Pacajes,,55769
BOLIVIA,LA PAZ,Camacho,,53526
BOLIVIA,LA PAZ,Muñecas,,25720
BOLIVIA,LA PAZ,Larecaja,BOL.4.9_1,92949
BOLIVIA,LA PAZ,Franz Tamayo,,29127
BOLIVIA,LA PAZ,Ingavi,BOL.4.7_1,146888
BOLIVIA,LA PAZ,Loayza,,49852
BOLIVIA,LA PAZ,Inquisivi,BOL.4.8_1,71475
BOLIVIA,LA PAZ,Sud Yungas,BOL.4.18_1,118630
BOLIVIA,LA PAZ,Los Andes,,81008
BOLIVIA,LA PAZ,Aroma,BOL.4.2_1,99661
BOLIVIA,LA PAZ,Nor Yungas,BOL.4.14_1,39564
BOLIVIA,LA PAZ,Abel Iturralde,BOL.4.1_1,19369
BOLIVIA,LA PAZ,Bautista Saavedra,,17242
BOLIVIA,LA PAZ,Manco Kapac,BOL.4.12_1,27743
BOLIVIA,LA PAZ,Gualberto Villarroel,,18700
BOLIVIA,LA PAZ,José Manuel Pando,,8413
BOLIVIA,LA PAZ,Caranavi,,65745
BOLIVIA,COCHABAMBA,Cercado,BOL.2.6_1,724126
BOLIVIA,COCHABAMBA,Campero,BOL.2.11_1,37810
BOLIVIA,COCHABAMBA,Ayopaya,,58313
BOLIVIA,COCHABAMBA,Esteban Arce,BOL.2.8_1,44585
BOLIVIA,COCHABAMBA,Arani,BOL.2.1_1,19200
BOLIVIA,COCHABAMBA,Arque,,21529
BOLIVIA,COCHABAMBA,Capinota,BOL.2.4_1,34728
BOLIVIA,COCHABAMBA,German Jordán,BOL.2.9_1,37590
BOLIVIA,COCHABAMBA,Quillacollo,BOL.2.13_1,403679
BOLIVIA,COCHABAMBA,Chapare,BOL.2.7_1,310680
BOLIVIA,COCHABAMBA,Tapacarí,,25852
BOLIVIA,COCHABAMBA,Carrasco,BOL.2.5_1,154299
BOLIVIA,COCHABAMBA,Mizque,,39196
BOLIVIA,COCHABAMBA,Punata,BOL.2.12_1,63505
BOLIVIA,COCHABAMBA,Bolívar,,7370
BOLIVIA,COCHABAMBA,Tiraque,,46177
BOLIVIA,ORURO,Cercado,BOL.5.3_1,349373
BOLIVIA,ORURO,Abaroa,BOL.5.4_1,35733
BOLIVIA,ORURO,Carangas,,11275
BOLIVIA,ORURO,Sajama,,9247
BOLIVIA,ORURO,Litoral,,12154
BOLIVIA,ORURO,Poopo,,17156
BOLIVIA,ORURO,Pantaleon Dalence,BOL.5.7_1,33057
BOLIVIA,ORURO,Ladislao Cabrera,,16872
BOLIVIA,ORURO,Sabaya,,11502
BOLIVIA,ORURO,Saucari,,11653
BOLIVIA,ORURO,Tomas Barron,,4972
BOLIVIA,ORURO,Sur Carangas,,7507
BOLIVIA,ORURO,San Pedro de Totora,,5726
BOLIVIA,ORURO,Sebastián Pagador,,16633
BOLIVIA,ORURO,Mejillones,,2541
BOLIVIA,ORURO,Nor Carangas,,5715
BOLIVIA,POTOSI,Tomas Frias,BOL.7.15_1,265054
BOLIVIA,POTOSI,Rafael Bustillo,BOL.7.12_1,94297
BOLIVIA,POTOSI,Cornelio Saavedra,,53307
BOLIVIA,POTOSI,Chayanta,,103119
BOLIVIA,POTOSI,Charcas,,42806
BOLIVIA,POTOSI,Nor Chichas,,44420
BOLIVIA,POTOSI,Alonso de Ibañez,,27621
BOLIVIA,POTOSI,Sur Chichas,BOL.7.13_1,61134
BOLIVIA,POTOSI,Nor Lípez,BOL.7.11_1,17266
BOLIVIA,POTOSI,Sur Lípez,,8606
BOLIVIA,POTOSI,José Maria Linares,,48053
BOLIVIA,POTOSI,Antonio Quijarro,BOL.7.2_1,67218
BOLIVIA,POTOSI,Bernardino Bilbao Rioja,,10196
BOLIVIA,POTOSI,Daniel Campos,,6742
BOLIVIA,POTOSI,Modesto Omiste,BOL.7.9_1,50004
BOLIVIA,POTOSI,Enrique Baldivieso,,1712
BOLIVIA,TARIJA,Cercado,BOL.9.3_1,268387
BOLIVIA,TARIJA,Aniceto Arce,BOL.9.1_1,58986
BOLIVIA,TARIJA,Gran Chaco,BOL.9.5_1,172918
BOLIVIA,TARIJA,Aviles,,21216
BOLIVIA,TARIJA,Méndez,BOL.9.4_1,37716
BOLIVIA,TARIJA,Burnet Oconnor,BOL.9.2_1,24107
BOLIVIA,SANTA CRUZ,Andrés Ibañez,BOL.8.1_1,2035411
BOLIVIA,SANTA CRUZ,Warnes,BOL.8.6_1,228413
BOLIVIA,SANTA CRUZ,Velasco,BOL.8.7_1,83198
BOLIVIA,SANTA CRUZ,Ichilo,BOL.8.5_1,124657
BOLIVIA,SANTA CRUZ,Chiquitos,BOL.8.2_1,108520
BOLIVIA,SANTA CRUZ,Sara,BOL.8.11_1,49701
BOLIVIA,SANTA CRUZ,Cordillera,BOL.8.3_1,139723
BOLIVIA,SANTA CRUZ,Vallegrande,BOL.8.12_1,27543
BOLIVIA,SANTA CRUZ,Florida,BOL.8.4_1,39578
BOLIVIA,SANTA CRUZ,Obispo Santiestevan,BOL.8.10_1,221142
BOLIVIA,SANTA CRUZ,Ñuflo de Chávez,BOL.8.9_1,152874
BOLIVIA,SANTA CRUZ,Angel Sandoval,,15960
BOLIVIA,SANTA CRUZ,Manuel Maria Caballero,BOL.8.8_1,27213
BOLIVIA,SANTA CRUZ,German Busch,,52533
BOLIVIA,SANTA CRUZ,Guarayos,,63593
BOLIVIA,BENI,Cercado,BOL.3.1_1,136563
BOLIVIA,BENI,Vaca Diez,BOL.3.6_1,146201
BOLIVIA,BENI,José Ballivián,BOL.3.2_1,94610
BOLIVIA,BENI,Yacuma,BOL.3.7_1,24823
BOLIVIA,BENI,Moxos,BOL.3.5_1,22564
BOLIVIA,BENI,Marban,BOL.3.4_1,17393
BOLIVIA,BENI,Mamore,BOL.3.3_1,14253
BOLIVIA,BENI,Itenez,,23901
BOLIVIA,PANDO,Nicolás Suárez,,95982
BOLIVIA,PANDO,Manuripi,,16752
BOLIVIA,PANDO,Madre de Dios,,29138
BOLIVIA,PANDO,Abuna,,4346
BOLIVIA,PANDO,Federico Román,BOL.6.1_1,8137
